ts,level,level_rate
2025-12-19 13:54:36,21.39,54.27
2025-12-19 13:54:41,63.66,72.39
2025-12-19 13:54:46,98.39,61.91
2025-12-19 13:54:51,65.73,74.1
2025-12-19 13:54:56,78.44,90.24
2025-12-19 13:55:01,48.51,94.8
2025-12-19 13:55:06,64.27,10.31
2025-12-19 13:55:11,48.38,81.41
2025-12-19 13:55:16,97.61,21.31
2025-12-19 13:55:21,5.44,32.02
2025-12-19 13:55:26,9.54,11.64
2025-12-19 13:55:31,57.29,39.09
2025-12-19 13:55:36,97.86,85.52
2025-12-19 13:55:41,82.88,87.67
2025-12-19 13:55:46,29.12,5.64
2025-12-19 13:55:51,66.88,82.53
2025-12-19 13:55:56,46.72,57.48
2025-12-19 13:56:01,56.08,12.19
2025-12-19 13:56:06,95.65,31.85
2025-12-19 13:56:11,20.83,72.11
2025-12-19 13:56:16,65.22,27.44
2025-12-19 13:56:21,6.87,45.38
2025-12-19 13:56:26,62.97,53.57
2025-12-19 13:56:31,2.45,17.1
2025-12-19 13:56:36,62.81,6.22
2025-12-19 13:56:41,11.45,82.98
2025-12-19 13:56:46,99.15,7.35
2025-12-19 13:56:51,62.11,91.92
2025-12-19 13:56:56,54.92,19.71
2025-12-19 13:57:01,55.85,10.16
2025-12-19 13:57:06,68.97,92.68
2025-12-19 13:57:11,49.82,75.03
2025-12-19 13:57:16,34.54,66.57
2025-12-19 13:57:21,65.49,92.64
2025-12-19 13:57:26,41.85,2.4
2025-12-19 13:57:31,65.54,31.44
2025-12-19 13:57:36,38.26,75.0
2025-12-19 13:57:41,97.93,72.12
2025-12-19 13:57:46,47.49,13.84
2025-12-19 13:57:51,55.28,98.54
2025-12-19 13:57:56,37.61,14.21
2025-12-19 13:58:01,74.63,40.16
2025-12-19 13:58:06,57.46,32.6
2025-12-19 13:58:11,92.0,79.77
2025-12-19 13:58:16,73.89,71.09
2025-12-19 13:58:21,55.35,80.58
2025-12-19 13:58:26,79.92,94.02
2025-12-19 13:58:31,4.94,95.22
2025-12-19 13:58:36,23.68,16.17
2025-12-19 13:58:41,52.21,85.62
2025-12-19 13:58:46,61.98,11.57
2025-12-19 13:58:51,44.6,89.6
2025-12-19 13:58:56,1.46,54.36
2025-12-19 13:59:01,36.53,39.87
2025-12-19 13:59:06,49.91,78.46
2025-12-19 13:59:11,45.13,25.05
2025-12-19 13:59:16,93.71,87.96
2025-12-19 13:59:21,19.8,0.86
2025-12-19 13:59:26,75.08,27.8
2025-12-19 13:59:31,14.01,50.16
2025-12-19 13:59:36,40.41,7.45
2025-12-19 13:59:41,7.31,26.08
2025-12-19 13:59:46,86.37,81.66
2025-12-19 13:59:51,62.95,66.01
2025-12-19 13:59:56,3.59,56.28
2025-12-19 14:00:01,45.46,86.27
2025-12-19 14:00:06,87.56,65.93
2025-12-19 14:00:11,60.01,52.97
2025-12-19 14:00:16,30.62,2.78
2025-12-19 14:00:21,24.14,57.85
2025-12-19 14:00:26,33.12,42.46
2025-12-19 14:00:31,11.71,89.93
2025-12-19 14:00:36,10.64,85.84
2025-12-19 14:00:41,18.21,32.14
2025-12-19 14:00:46,14.17,34.98
2025-12-19 14:00:51,57.8,82.92
2025-12-19 14:00:56,76.81,79.65
2025-12-19 14:01:01,84.45,93.02
2025-12-19 14:01:06,78.21,33.75
2025-12-19 14:01:11,26.24,78.03
2025-12-19 14:01:16,56.06,8.86
2025-12-19 14:01:21,39.32,23.19
2025-12-19 14:01:26,12.84,11.61
2025-12-19 14:01:31,17.85,57.5
2025-12-19 14:01:36,25.73,88.42
2025-12-19 14:01:41,33.09,35.2
2025-12-19 14:01:46,51.6,35.73
2025-12-19 14:01:51,23.34,78.75
2025-12-19 14:01:56,41.34,54.99
2025-12-19 14:02:01,80.66,39.13
2025-12-19 14:02:06,66.21,3.59
2025-12-19 14:02:11,27.62,82.19
2025-12-19 14:02:16,17.84,76.7
2025-12-19 14:02:21,80.4,23.48
2025-12-19 14:02:26,38.75,30.55
2025-12-19 14:02:31,46.04,12.33
2025-12-19 14:02:36,5.36,14.25
2025-12-19 14:02:41,81.96,0.38
2025-12-19 14:02:46,22.46,98.89
2025-12-19 14:02:51,66.87,78.28
2025-12-19 14:02:56,7.18,94.81
2025-12-19 14:03:01,52.74,40.72
2025-12-19 14:03:06,59.29,64.42
2025-12-19 14:03:11,57.93,76.84
2025-12-19 14:03:16,50.48,52.88
2025-12-19 14:03:21,74.88,4.79
2025-12-19 14:03:26,16.9,52.67
2025-12-19 14:03:31,94.5,72.16
2025-12-19 14:03:36,26.29,8.88
2025-12-19 14:03:41,16.98,88.64
2025-12-19 14:03:46,50.54,61.97
2025-12-19 14:03:51,52.46,91.62
2025-12-19 14:03:56,94.16,17.35
2025-12-19 14:04:01,75.47,71.16
2025-12-19 14:04:06,55.02,14.88
2025-12-19 14:04:11,30.92,98.77
2025-12-19 14:04:16,63.11,6.6
2025-12-19 14:04:21,49.24,21.62
2025-12-19 14:04:26,19.51,58.81
2025-12-19 14:04:31,31.19,41.67
2025-12-19 14:04:36,97.02,96.55
2025-12-19 14:04:41,75.64,44.69
2025-12-19 14:04:46,41.49,32.33
2025-12-19 14:04:51,12.36,71.84
2025-12-19 14:04:56,95.55,58.6
2025-12-19 14:05:01,84.15,93.44
2025-12-19 14:05:06,9.87,28.73
2025-12-19 14:05:11,49.63,74.87
2025-12-19 14:05:16,92.66,1.43
2025-12-19 14:05:21,86.61,93.56
2025-12-19 14:05:26,13.01,51.45
2025-12-19 14:05:31,18.38,45.05
2025-12-19 14:05:36,22.98,11.62
2025-12-19 14:05:41,71.51,15.62
2025-12-19 14:05:46,6.59,28.99
2025-12-19 14:05:51,24.19,60.11
2025-12-19 14:05:56,57.36,8.57
2025-12-19 14:06:01,77.95,91.86
2025-12-19 14:06:06,2.99,70.35
2025-12-19 14:06:11,4.77,20.06
2025-12-19 14:06:16,70.91,17.8
2025-12-19 14:06:21,0.26,63.82
2025-12-19 14:06:26,46.31,67.08
2025-12-19 14:06:31,44.6,86.76
2025-12-19 14:06:36,5.75,77.23
2025-12-19 14:06:41,8.35,70.06
2025-12-19 14:06:46,80.89,24.97
2025-12-19 14:06:51,24.91,73.26
2025-12-19 14:06:56,81.33,66.82
2025-12-19 14:07:01,93.05,40.55
2025-12-19 14:07:06,53.1,63.11
2025-12-19 14:07:11,65.88,34.8
2025-12-19 14:07:16,32.42,41.47
2025-12-19 14:07:21,99.88,83.74
2025-12-19 14:07:26,0.78,57.15
2025-12-19 14:07:31,96.82,74.19
2025-12-19 14:07:36,45.84,51.5
2025-12-19 14:07:41,77.53,66.47
2025-12-19 14:07:46,98.68,19.49
2025-12-19 14:07:51,42.16,80.5
2025-12-19 14:07:56,41.77,86.61
2025-12-19 14:08:01,16.17,95.55
2025-12-19 14:08:06,91.71,7.01
2025-12-19 14:08:11,60.94,53.33
2025-12-19 14:08:16,50.3,32.55
2025-12-19 14:08:21,85.92,65.48
2025-12-19 14:08:26,99.42,59.36
2025-12-19 14:08:31,9.84,74.28
2025-12-19 14:08:36,33.49,77.56
2025-12-19 14:08:41,47.13,67.57
2025-12-19 14:08:46,43.65,26.34
2025-12-19 14:08:51,38.89,83.93
2025-12-19 14:08:56,58.89,54.06
2025-12-19 14:09:01,68.75,55.69
2025-12-19 14:09:06,38.85,74.59
2025-12-19 14:09:11,26.73,64.45
2025-12-19 14:09:16,63.27,38.69
2025-12-19 14:09:21,73.66,7.95
2025-12-19 14:09:26,14.37,90.5
2025-12-19 14:09:31,12.6,73.53
2025-12-19 14:09:36,33.4,98.12
2025-12-19 14:09:41,46.66,66.56
2025-12-19 14:09:46,92.65,36.58
2025-12-19 14:09:51,47.68,37.98
2025-12-19 14:09:56,16.08,49.98
2025-12-19 14:10:01,37.79,2.41
2025-12-19 14:10:06,62.27,89.32
2025-12-19 14:10:11,31.63,47.47
2025-12-19 14:10:16,67.24,31.21
2025-12-19 14:10:21,81.2,44.49
2025-12-19 14:10:26,75.11,96.33
2025-12-19 14:10:31,62.02,9.46
2025-12-19 14:10:36,64.58,50.81
2025-12-19 14:10:41,1.42,72.37
2025-12-19 14:10:46,37.96,82.23
2025-12-19 14:10:51,45.9,20.36
2025-12-19 14:10:56,59.94,8.51
2025-12-19 14:11:01,91.19,62.04
2025-12-19 14:11:06,7.48,83.07
2025-12-19 14:11:11,2.1,97.7
2025-12-19 14:11:16,78.9,83.18
2025-12-19 14:11:21,70.77,38.49
2025-12-19 14:11:26,88.07,68.26
2025-12-19 14:11:31,16.86,13.74
2025-12-19 14:11:36,9.1,95.32
2025-12-19 14:11:41,38.92,85.92
2025-12-19 14:11:46,42.65,9.68
2025-12-19 14:11:51,66.01,79.62
2025-12-19 14:11:56,40.57,3.23
2025-12-19 14:12:01,27.74,27.84
2025-12-19 14:12:06,48.83,34.96
2025-12-19 14:12:11,36.15,8.15
2025-12-19 14:12:16,56.26,19.76
2025-12-19 14:12:21,22.16,46.85
2025-12-19 14:12:26,66.55,9.18
2025-12-19 14:12:31,27.79,1.09
2025-12-19 14:12:36,74.68,24.75
2025-12-19 14:12:41,35.74,95.74
2025-12-19 14:12:46,61.89,26.58
2025-12-19 14:12:51,45.65,7.87
2025-12-19 14:12:56,47.37,44.24
2025-12-19 14:13:01,47.7,62.48
2025-12-19 14:13:06,77.16,20.33
2025-12-19 14:13:11,46.62,78.52
2025-12-19 14:13:16,88.73,58.45
2025-12-19 14:13:21,4.8,26.74
2025-12-19 14:13:26,96.42,67.34
2025-12-19 14:13:31,53.54,4.62
2025-12-19 14:13:36,25.04,47.93
2025-12-19 14:13:41,96.08,43.87
2025-12-19 14:13:46,11.47,7.37
2025-12-19 14:13:51,11.14,26.09
2025-12-19 14:13:56,80.27,21.96
2025-12-19 14:14:01,73.25,53.79
2025-12-19 14:14:06,74.12,6.84
2025-12-19 14:14:11,42.93,90.59
2025-12-19 14:14:16,33.75,93.7
2025-12-19 14:14:21,24.87,72.24
2025-12-19 14:14:26,68.67,4.04
2025-12-19 14:14:31,79.31,71.25
2025-12-19 14:14:36,26.57,9.6
2025-12-19 14:14:41,37.51,8.92
2025-12-19 14:14:46,99.66,31.81
2025-12-19 14:14:51,93.44,58.31
2025-12-19 14:14:56,92.41,83.89
2025-12-19 14:15:01,88.12,79.12
2025-12-19 14:15:06,97.28,33.36
2025-12-19 14:15:11,14.96,78.36
2025-12-19 14:15:16,9.99,41.63
2025-12-19 14:15:21,79.17,19.3
2025-12-19 14:15:26,83.33,37.2
2025-12-19 14:15:31,53.44,46.58
2025-12-19 14:15:36,2.98,79.17
2025-12-19 14:15:41,24.69,12.9
2025-12-19 14:15:46,6.52,67.49
2025-12-19 14:15:51,93.03,0.99
2025-12-19 14:15:56,33.96,60.5
2025-12-19 14:16:01,24.98,41.59
2025-12-19 14:16:06,7.27,25.79
2025-12-19 14:16:12,27.68,36.37
2025-12-19 14:16:17,93.2,14.95
2025-12-19 14:16:22,59.52,64.73
2025-12-19 14:16:27,58.81,42.35
2025-12-19 14:16:32,33.69,64.57
2025-12-19 14:16:37,57.74,3.17
2025-12-19 14:16:42,73.6,87.71
2025-12-19 14:16:47,51.6,63.24
2025-12-19 14:16:52,16.29,62.29
2025-12-19 14:16:57,65.31,68.53
2025-12-19 14:17:02,64.47,41.22
2025-12-19 14:17:07,5.45,28.92
2025-12-19 14:17:12,7.66,47.67
2025-12-19 14:17:17,41.16,59.69
2025-12-19 14:17:22,33.03,38.31
2025-12-19 14:17:27,32.74,74.99
2025-12-19 14:17:32,25.1,82.49
2025-12-19 14:17:37,43.27,76.49
2025-12-19 14:17:42,41.98,99.62
2025-12-19 14:17:47,68.71,25.6
2025-12-19 14:17:52,29.22,43.97
2025-12-19 14:17:57,97.11,12.88
2025-12-19 14:18:02,9.05,76.05
2025-12-19 14:18:07,76.34,6.24
2025-12-19 14:18:12,67.66,55.09
2025-12-19 14:18:17,75.24,80.43
2025-12-19 14:18:22,77.59,69.71
2025-12-19 14:18:27,81.57,90.33
2025-12-19 14:18:32,70.44,23.39
2025-12-19 14:18:37,55.96,94.47
2025-12-19 14:18:42,35.68,15.23
2025-12-19 14:18:47,73.1,44.24
2025-12-19 14:18:52,28.48,1.11
2025-12-19 14:18:57,19.95,23.5
2025-12-19 14:19:02,32.04,38.27
2025-12-19 14:19:07,89.04,20.18
2025-12-19 14:19:12,95.06,80.54
2025-12-19 14:19:17,82.57,64.29
2025-12-19 14:19:22,19.25,8.84
2025-12-19 14:19:27,25.33,55.16
2025-12-19 14:19:32,46.03,58.24
2025-12-19 14:19:37,99.0,74.02
2025-12-19 14:19:42,82.21,20.3
2025-12-19 14:19:47,4.15,85.95
2025-12-19 14:19:52,90.6,88.36
2025-12-19 14:19:57,76.53,68.46
2025-12-19 14:20:02,42.93,84.93
2025-12-19 14:20:07,56.15,41.58
2025-12-19 14:20:12,1.93,27.75
2025-12-19 14:20:17,77.46,19.96
2025-12-19 14:20:22,72.37,46.1
2025-12-19 14:20:27,5.36,22.82
2025-12-19 14:20:32,2.72,5.51
2025-12-19 14:20:37,9.64,45.95
2025-12-19 14:20:42,26.45,95.98
2025-12-19 14:20:47,63.29,94.88
2025-12-19 14:20:52,6.4,12.11
2025-12-19 14:20:57,18.36,40.81
2025-12-19 14:21:02,52.22,39.14
2025-12-19 14:21:07,66.87,19.49
2025-12-19 14:21:12,63.43,59.85
2025-12-19 14:21:17,77.5,41.69
2025-12-19 14:21:22,73.89,87.91
2025-12-19 14:21:27,95.6,57.55
2025-12-19 14:21:32,29.14,96.91
2025-12-19 14:21:37,4.07,61.11
2025-12-19 14:21:42,19.94,52.72
2025-12-19 14:21:47,71.64,56.84
2025-12-19 14:21:52,46.65,23.79
2025-12-19 14:21:57,63.97,69.21
2025-12-19 14:22:02,22.5,27.12
2025-12-19 14:22:07,59.09,38.83
2025-12-19 14:22:12,93.78,69.87
2025-12-19 14:22:17,63.14,22.09
2025-12-19 14:22:22,19.1,74.84
2025-12-19 14:22:27,17.48,24.88
2025-12-19 14:22:32,44.16,47.72
2025-12-19 14:22:37,52.4,69.61
2025-12-19 14:22:42,56.26,83.29
2025-12-19 14:22:47,63.69,72.23
2025-12-19 14:22:52,67.42,63.66
2025-12-19 14:22:57,94.47,90.2
2025-12-19 14:23:02,89.32,5.41
2025-12-19 14:23:07,82.72,71.45
2025-12-19 14:23:12,43.94,48.82
2025-12-19 14:23:17,22.4,23.52
2025-12-19 14:23:22,11.02,79.18
2025-12-19 14:23:27,91.66,79.46
2025-12-19 14:23:32,32.49,56.34
2025-12-19 14:23:37,62.84,63.36
2025-12-19 14:23:42,68.29,44.58
2025-12-19 14:23:47,22.17,92.65
2025-12-19 14:23:52,1.44,5.35
2025-12-19 14:23:57,72.8,0.76
2025-12-19 14:24:02,84.27,19.31
2025-12-19 14:24:07,44.92,99.28
2025-12-19 14:24:12,74.71,84.98
2025-12-19 14:24:17,41.83,33.78
2025-12-19 14:24:22,7.41,14.67
2025-12-19 14:24:27,78.8,20.12
2025-12-19 14:24:32,1.13,83.48
2025-12-19 14:24:37,74.05,89.09
2025-12-19 14:24:42,37.61,57.54
2025-12-19 14:24:47,1.7,70.77
2025-12-19 14:24:52,62.72,21.68
2025-12-19 14:24:57,27.77,57.68
2025-12-19 14:25:02,69.15,68.47
2025-12-19 14:25:07,78.9,8.82
2025-12-19 14:25:12,58.25,76.23
2025-12-19 14:25:17,29.67,20.05
2025-12-19 14:25:22,41.54,93.85
2025-12-19 14:25:27,14.9,44.46
2025-12-19 14:25:32,82.87,48.12
2025-12-19 14:25:37,94.66,72.75
2025-12-19 14:25:42,39.25,96.64
2025-12-19 14:25:47,96.65,32.05
2025-12-19 14:25:52,42.05,90.34
2025-12-19 14:25:57,1.81,19.75
2025-12-19 14:26:02,27.07,38.89
2025-12-19 14:26:07,86.26,13.5
2025-12-19 14:26:12,50.12,63.06
2025-12-19 14:26:17,61.73,88.94
2025-12-19 14:26:22,67.5,83.56
2025-12-19 14:26:27,33.28,37.99
2025-12-19 14:26:32,83.12,6.0
2025-12-19 14:26:37,52.19,72.9
2025-12-19 14:26:42,50.83,70.56
2025-12-19 14:26:47,76.54,18.44
2025-12-19 14:26:52,77.79,41.19
2025-12-19 14:26:57,75.92,60.34
2025-12-19 14:27:02,97.57,68.17
2025-12-19 14:27:07,3.56,77.72
2025-12-19 14:27:12,85.33,85.32
2025-12-19 14:27:17,71.74,88.52
2025-12-19 14:27:22,65.91,62.24
2025-12-19 14:27:27,37.98,12.08
2025-12-19 14:27:32,75.31,2.74
2025-12-19 14:27:37,78.42,50.17
2025-12-19 14:27:42,34.12,4.41
2025-12-19 14:27:47,50.4,98.33
2025-12-19 14:27:52,62.98,68.79
2025-12-19 14:27:57,3.45,78.05
2025-12-19 14:28:02,4.25,74.17
2025-12-19 14:28:07,39.9,18.43
2025-12-19 14:28:12,81.0,76.6
2025-12-19 14:28:17,14.94,57.47
2025-12-19 14:28:22,10.11,32.17
2025-12-19 14:28:27,55.38,9.84
2025-12-20 19:58:25,23.709,0.0
2025-12-20 19:58:30,23.726,0.003
2025-12-20 19:58:35,23.709,-0.003
2025-12-20 19:58:40,23.709,0.0
2025-12-20 19:58:45,23.726,0.003
2025-12-20 19:58:50,23.709,-0.003
2025-12-20 19:58:55,23.726,0.003
2025-12-20 19:59:00,23.709,-0.003
2025-12-20 19:59:05,23.709,0.0
2025-12-20 19:59:10,23.709,0.0
2025-12-20 19:59:15,23.726,0.003
2025-12-20 19:59:20,23.726,0.0
2025-12-20 19:59:25,23.709,-0.003
2025-12-20 19:59:30,23.726,0.003
2025-12-20 19:59:35,23.709,-0.003
2025-12-20 19:59:40,23.709,0.0
2025-12-20 19:59:45,23.726,0.003
2025-12-20 19:59:50,23.709,-0.003
2025-12-20 19:59:55,23.709,0.0
2025-12-20 20:00:00,23.709,0.0
2025-12-20 20:00:05,23.726,0.003
2025-12-20 20:00:10,23.726,0.0
2025-12-20 20:00:15,23.709,-0.003
2025-12-20 20:00:20,23.709,0.0
2025-12-20 20:00:25,23.709,0.0
2025-12-20 20:00:30,23.709,0.0
2025-12-20 20:00:35,23.726,0.003
2025-12-20 20:00:40,23.709,-0.003
2025-12-20 20:00:45,23.297,-0.082
2025-12-20 20:00:50,23.709,0.082
2025-12-20 20:00:55,23.709,0.0
2025-12-20 20:01:00,23.297,-0.082
2025-12-20 20:01:05,23.709,0.082
2025-12-20 20:01:10,23.726,0.003
2025-12-20 20:01:15,23.709,-0.003
2025-12-20 20:01:20,23.726,0.003
2025-12-20 20:01:25,23.726,0.0
2025-12-20 20:01:30,23.709,-0.003
2025-12-20 20:01:35,23.709,0.0
2025-12-20 20:01:40,23.726,0.003
2025-12-20 20:01:45,23.726,0.0
2025-12-20 20:01:50,23.726,0.0
2025-12-20 20:01:55,23.709,-0.003
2025-12-20 20:02:00,23.726,0.003
2025-12-20 20:02:05,23.709,-0.003
2025-12-20 20:02:10,23.726,0.003
2025-12-20 20:02:15,23.709,-0.003
2025-12-20 20:02:21,23.709,0.0
2025-12-20 20:02:26,23.709,0.0
2025-12-20 20:02:31,23.726,0.003
2025-12-20 20:02:36,23.709,-0.003
2025-12-20 20:02:41,23.726,0.003
2025-12-20 20:02:46,23.709,-0.003
2025-12-20 20:02:51,23.709,0.0
2025-12-20 20:02:56,23.709,0.0
2025-12-20 20:03:01,23.726,0.003
2025-12-20 20:03:06,23.726,0.0
2025-12-20 20:03:11,23.709,-0.003
2025-12-20 20:03:16,23.709,0.0
2025-12-20 20:03:21,23.726,0.003
2025-12-20 20:03:26,23.709,-0.003
2025-12-20 20:03:31,23.709,0.0
2025-12-20 20:03:36,23.726,0.003
2025-12-20 20:03:41,23.709,-0.003
2025-12-20 20:03:46,23.709,0.0
2025-12-20 20:03:51,23.709,0.0
2025-12-20 20:03:56,23.726,0.003
2025-12-20 20:04:01,23.726,0.0
2025-12-20 20:04:06,23.709,-0.003
2025-12-20 20:04:11,23.709,0.0
2025-12-20 20:04:16,23.709,0.0
2025-12-20 20:04:21,23.709,0.0
2025-12-20 20:04:26,23.726,0.003
2025-12-20 20:04:31,23.709,-0.003
2025-12-20 20:04:36,23.726,0.003
2025-12-20 20:04:41,23.709,-0.003
2025-12-20 20:04:46,23.709,0.0
2025-12-20 20:04:51,23.726,0.003
2025-12-20 20:04:56,23.709,-0.003
2025-12-20 20:05:01,23.726,0.003
2025-12-20 20:05:06,23.709,-0.003
2025-12-20 20:05:11,23.726,0.003
2025-12-20 20:05:16,23.726,0.0
2025-12-20 20:05:21,23.726,0.0
2025-12-20 20:05:26,23.709,-0.003
2025-12-20 20:05:31,23.726,0.003
2025-12-20 20:05:36,23.297,-0.086
2025-12-20 20:05:41,23.726,0.086
2025-12-20 20:05:46,23.726,0.0
2025-12-20 20:05:51,23.726,0.0
2025-12-20 20:05:56,23.726,0.0
2025-12-20 20:06:01,23.726,0.0
2025-12-20 20:06:06,23.726,0.0
2025-12-20 20:06:11,23.709,-0.003
2025-12-20 20:06:16,23.726,0.003
2025-12-20 20:06:21,23.709,-0.003
2025-12-20 20:06:26,23.709,0.0
2025-12-20 20:06:31,23.709,0.0
2025-12-20 20:06:36,23.726,0.003
2025-12-20 20:06:41,23.709,-0.003
2025-12-20 20:06:46,23.726,0.003
2025-12-20 20:06:51,23.709,-0.003
2025-12-20 20:06:56,23.709,0.0
2025-12-20 20:07:01,23.709,0.0
2025-12-20 20:07:06,23.709,0.0
